,Age,Country,Plays,Wikipedia,Current Rank,Best Rank,Name,Backhand,Prize Money,Height,Favorite Surface,Turned Pro,Seasons,Active,Current Elo Rank,Best Elo Rank,Peak Elo Rating,Last Appearance,Titles,GOAT Rank,Best Season,Retired,Masters,Birthplace,Residence,Weight,Coach,Facebook,Twitter,Nicknames,Grand Slams,Davis Cups,Web Site,Team Cups,Olympics,Weeks at No. 1,Tour Finals
0,26 (25-04-1993),Brazil,Right-handed,Wikipedia,378 (97),363 (04-11-2019),Oscar Jose Gutierrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18 (22-12-2001),United Kingdom,Left-handed,Wikipedia,326 (119),316 (14-10-2019),Jack Draper,Two-handed,"$59,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,32 (03-11-1987),Slovakia,Right-handed,Wikipedia,178 (280),44 (14-01-2013),Lukas Lacko,Two-handed,"US$3,261,567",185 cm,"Fast (H, G) 40%",2005,14,Yes,144 (1764),60 (06-02-2012),1886 (06-02-2012),18-03-2019,,,,,,,,,,,,,,,,,,,
3,21 (29-05-1998),"Korea, Republic of",Right-handed,Wikipedia,236 (199),130 (10-04-2017),Duck Hee Lee,Two-handed,"$374,093",,,,2,Yes,,,,19-08-2019,,,,,,,,,,,,,,,,,,,
4,27 (21-10-1992),Australia,Right-handed,Wikipedia,183 (273),17 (11-01-2016),Bernard Tomic,Two-handed,"US$6,091,971",193 cm,"Fast (H, G) 36%",2008,11,Yes,100 (1826),21 (23-03-2015),2037 (01-02-2016),14-10-2019,4,264 (6),2015,,,,,,,,,,,,,,,,
5,22 (11-02-1997),Poland,Right-handed,Wikipedia,31 (1398),31 (20-01-2020),Hubert Hurkacz,Two-handed,"$1,517,157",,"Fast (H, G) 29%",2015,5,Yes,33 (1983),33 (19-01-2020),1983 (20-01-2020),13-01-2020,1,489 (1),2019,,,,,,,,,,,,,,,,
6,28 (18-11-1991),United States,Right-handed,Wikipedia,307 (131),213 (31-10-2016),Sekou Bangoura,Two-handed,"$278,709",,,2010,1,,,,,31-07-2017,,,,2017,,,,,,,,,,,,,,,
7,21 (12-05-1998),"Taiwan, Province of China",Right-handed,Wikipedia,232 (205),229 (04-11-2019),Tung Lin Wu,Two-handed,"$59,123",,,,1,Yes,,,,,,,,,,,,,,,,,,,,,,,
8,25 (29-07-1994),Uzbekistan,Right-handed,Wikipedia,417 (81),253 (17-07-2017),Sanjar Fayziev,Two-handed,"$122,734",,Hard 100%,,5,Yes,189 (1602),187 (10-01-2020),1603 (20-09-2019),,,,,,,,,,,,,,,,,,,,
9,20 (02-04-1999),Finland,Right-handed,Wikipedia,104 (534),104 (13-01-2020),Emil Ruusuvuori,Two-handed,"US$74,927",,,,3,Yes,,,,,,,,,,,,,,,,,,,,,,,
